Date,ADBE,AMZN,AVGO,CAT,COST,JPM,LLY,MA,MSFT,NVDA,UNH,XOM,total_exposure
2023-01-03,0.30869818,0.068436645,0.116691664,0.15692435,0.27460766,0.07646693,0.1768938,0.20962524,0.10573053,0.14437547,0.15219715,-0.16285758,1.9535052
2023-01-04,0.3197257,0.07036759,0.11472596,0.15098435,0.27155626,0.07368806,0.18109365,0.22513369,0.1079483,0.1313631,0.15362602,-0.16202074,1.9622333
2023-01-05,0.31466508,0.06949588,0.115677655,0.15367854,0.2733483,0.07477473,0.17918907,0.2181273,0.106689624,0.13776347,0.15284295,-0.16242278,1.9586754
2023-01-06,0.32156754,0.07064068,0.11411756,0.14952128,0.2710746,0.07299731,0.18174806,0.22841689,0.10776438,0.12912196,0.1537533,-0.16176677,1.9624903
2023-01-09,0.31341562,0.06937508,0.1157136,0.15409225,0.2739942,0.07480526,0.17862022,0.21676125,0.106113106,0.13954996,0.15248388,-0.16248497,1.9574093
2023-01-10,0.31504825,0.06966105,0.11570224,0.15372275,0.27314034,0.07486022,0.17929119,0.21828032,0.10719927,0.13725297,0.1529805,-0.16246034,1.9595995
2023-01-11,0.31760615,0.07011672,0.11558963,0.15310991,0.27164805,0.074949205,0.18030158,0.22069725,0.1089377,0.13350517,0.15376405,-0.16240697,1.9626324
2023-01-12,0.31573448,0.0697953,0.11580321,0.15387443,0.27246046,0.07514918,0.17957099,0.21844791,0.10813509,0.1360107,0.15334746,-0.16249615,1.9608254
2023-01-13,0.31775916,0.070122175,0.11535971,0.15261939,0.2719166,0.074554086,0.18034057,0.22153339,0.10833996,0.13360302,0.15357074,-0.16231789,1.9620366
2023-01-17,0.3167935,0.069951944,0.11604364,0.15418768,0.27124655,0.0757567,0.18004659,0.21857291,0.10974978,0.13388036,0.15403584,-0.16256729,1.9628328
2023-01-18,0.31756154,0.07009509,0.11589646,0.15375245,0.27103996,0.075560346,0.18033426,0.21967451,0.109896004,0.1329713,0.15412852,-0.16250326,1.9634137
2023-01-19,0.31728327,0.07003224,0.11534302,0.15259987,0.27235726,0.07441735,0.18015541,0.2212887,0.10780877,0.13443361,0.15335074,-0.16230828,1.9613783
2023-01-20,0.32011706,0.07053723,0.11478837,0.15112202,0.27123943,0.07386703,0.18119968,0.2251486,0.10862748,0.13073637,0.15382248,-0.16208008,1.9632857
2023-01-23,0.318613,0.07029688,0.11510666,0.1519846,0.27180114,0.07420699,0.18063785,0.22298639,0.10830217,0.1326908,0.15358895,-0.16221963,1.9624349
2023-01-24,0.31462073,0.06955717,0.11578736,0.15389138,0.27333716,0.07492541,0.17915644,0.21777676,0.10700164,0.13780119,0.1529005,-0.16247769,1.9592334
2023-01-25,0.31591117,0.06975244,0.115759596,0.1535692,0.27262175,0.0749598,0.1796969,0.21902157,0.10781482,0.13593341,0.15329543,-0.16244298,1.960779
2023-01-26,0.31474867,0.06953303,0.11569789,0.15360855,0.27347758,0.07472397,0.17922899,0.21828555,0.10667826,0.1377782,0.15282151,-0.16242158,1.9590038
2023-01-27,0.320158,0.07038719,0.115624756,0.15271889,0.26953787,0.07546468,0.1814306,0.22272056,0.11107232,0.12905416,0.15485519,-0.16231333,1.9653374
2023-01-30,0.31788558,0.07002806,0.11602642,0.1537357,0.2707474,0.07572336,0.18058808,0.21987781,0.11013824,0.13231596,0.15433395,-0.16245116,1.9638518
2023-01-31,0.31026885,0.06870403,0.1170802,0.15728438,0.27321663,0.07718583,0.17762034,0.20998088,0.1078573,0.14161575,0.15307122,-0.16292979,1.9568152
2023-02-01,0.30683708,0.06804315,0.11771755,0.15958473,0.2728377,0.07878226,0.17626695,0.2043193,0.10825233,0.14435142,0.1531412,-0.16316672,1.9533005
2023-02-02,0.3035193,0.06742712,0.11765228,0.16010663,0.2745691,0.07860753,0.17490347,0.2015131,0.10581811,0.14893526,0.15211022,-0.16313964,1.9483018
2023-02-03,0.30944368,0.06846735,0.11610319,0.1553446,0.27554226,0.075229295,0.1771934,0.21250488,0.10400298,0.1444631,0.15167281,-0.16259128,1.9525588
2023-02-06,0.32738703,0.07198897,0.1119096,0.14503634,0.26969814,0.071495034,0.18343118,0.23923859,0.10702442,0.12209672,0.15413257,-0.160647,1.9640857
2023-02-07,0.3256408,0.07171499,0.112559214,0.14633992,0.27062184,0.071842276,0.18288462,0.23629194,0.10687743,0.12474741,0.1538387,-0.16097595,1.964335
2023-02-08,0.32667565,0.07183412,0.11223933,0.14567086,0.26991317,0.07167897,0.18324478,0.23778693,0.10717499,0.12304249,0.15407768,-0.16079728,1.9641362
2023-02-09,0.32670173,0.07187049,0.11227299,0.14575434,0.26986384,0.07171133,0.18324032,0.23764797,0.10737214,0.12299648,0.154109,-0.16083704,1.9643776
2023-02-10,0.32761365,0.07199947,0.11193694,0.14510116,0.2692818,0.07155705,0.18353245,0.23911539,0.10752938,0.12152307,0.15429735,-0.1606859,1.9641736
2023-02-13,0.31027,0.37791222,0.14063449,-0.03171677,0.34490985,0.006609291,0.50333214,-0.11055902,0.3796371,0.52636576,0.032335795,-0.5751351,3.3394175
2023-02-14,0.27528998,0.063402124,0.084295414,0.09399803,0.21143538,0.069507785,0.14391741,0.1679374,0.06965726,0.12961267,0.17076163,-0.15235746,1.6321725
2023-02-15,0.32735366,0.06290063,0.11427297,0.13630264,0.25872386,0.065531835,0.17741886,0.24225307,0.10727263,0.12017812,0.17008005,-0.15052533,1.9328136
2023-02-16,0.33112228,0.06555822,0.11485818,0.1379524,0.26104385,0.06631249,0.18024965,0.24399409,0.110081196,0.11775701,0.16783915,-0.1525872,1.9493557
2023-02-17,0.33335292,0.06846686,0.11475162,0.13983166,0.26417992,0.06736973,0.18256609,0.24502948,0.11143825,0.1168932,0.1642509,-0.1550384,1.9631689
2023-02-21,0.33090293,0.07156189,0.11254066,0.1426672,0.26855427,0.06966401,0.18364878,0.24359284,0.10836884,0.11964152,0.15710908,-0.15885472,1.9671068
2023-02-22,0.32768947,0.07196698,0.11220829,0.14577097,0.2682519,0.07183826,0.18358181,0.23760656,0.10924785,0.12062174,0.15470561,-0.16097943,1.9644687
2023-02-23,0.26739898,0.059723593,0.11934689,0.16879553,0.27503312,0.08500657,0.15662183,0.15906715,0.09992954,0.17882867,0.15012011,-0.16292879,1.8828009
2023-02-24,0.2734766,0.06225284,0.11670776,0.16906577,0.27771965,0.0837739,0.16107367,0.16759892,0.09577368,0.17821197,0.14749661,-0.1625762,1.8957275
2023-02-27,0.3000879,0.06752975,0.11673951,0.16063213,0.27607083,0.078091696,0.17274143,0.1984874,0.1039859,0.15386096,0.15068872,-0.16319762,1.9421139
2023-02-28,0.29227662,0.06610845,0.116153374,0.16210812,0.2782066,0.07838929,0.16923009,0.1911756,0.09954441,0.16276586,0.14879662,-0.16290815,1.9276632
2023-03-01,0.29160494,0.06583588,0.116480306,0.16241354,0.27844685,0.078684896,0.16912423,0.19029242,0.09936401,0.1634102,0.14884007,-0.16292724,1.9274247
2023-03-02,0.29637837,0.06692998,0.116602734,0.16162902,0.27697736,0.07844351,0.17104192,0.1945761,0.102367066,0.15801238,0.14990917,-0.16317338,1.9360411
2023-03-03,0.27905428,0.06339396,0.11681728,0.16719493,0.27830383,0.08219886,0.16362442,0.17442977,0.09690494,0.1740266,0.14785294,-0.1627546,1.9065564
2023-03-06,0.25008926,0.057506908,0.11597179,0.17304388,0.2772082,0.08753707,0.14896028,0.14246239,0.09013389,0.19660237,0.145673,-0.16132867,1.8465177
2023-03-07,0.2773139,0.063003674,0.117657736,0.16941983,0.27571246,0.08463048,0.16271038,0.1694559,0.10004559,0.17290138,0.14922413,-0.16321133,1.9052868
2023-03-08,0.06934284,0.01625396,0.09880234,0.15241446,0.2600147,0.103677936,0.03155961,0.0030834973,0.04720837,0.29984823,0.15626262,-0.16518065,1.4036493
2023-03-09,0.19508405,0.04492475,0.11398025,0.17304575,0.27801085,0.09126356,0.11835048,0.09579188,0.07570541,0.2361579,0.14299977,-0.16189376,1.7272085
2023-03-10,0.26969072,0.06134889,0.117211446,0.17079157,0.27696893,0.08552028,0.15947933,0.16222613,0.09598385,0.18044084,0.1478262,-0.16265741,1.8901457
2023-03-13,0.2765393,0.062711656,0.11717643,0.16836049,0.27779204,0.08333716,0.16264364,0.17086364,0.09686109,0.17554007,0.14805305,-0.16276562,1.9026443
2023-03-14,0.28311473,0.064080805,0.11735596,0.16661073,0.27748865,0.08203918,0.16554734,0.17808981,0.099200636,0.16970621,0.1488646,-0.16304745,1.9151461
2023-03-15,0.26356256,0.05999541,0.11718224,0.17149691,0.2770087,0.08619619,0.1562049,0.1558228,0.094479814,0.18532479,0.14738062,-0.16231813,1.876973
2023-03-16,0.28454223,0.064152084,0.11702488,0.16501942,0.27879775,0.08063996,0.16637829,0.18162826,0.09742808,0.16960931,0.14832273,-0.16279748,1.9163404
2023-03-17,0.28486198,0.06414985,0.11678025,0.164385,0.2792784,0.080067694,0.16654922,0.18285863,0.09658191,0.16976702,0.14804272,-0.16266966,1.9159923
2023-03-20,0.29643285,0.0661864,0.11639635,0.1596734,0.27887362,0.07699892,0.17166361,0.19779408,0.09880429,0.15920405,0.14918897,-0.16273294,1.9339495
2023-03-21,0.28552723,0.064210534,0.116932705,0.1642392,0.27925622,0.0800291,0.16692455,0.1835371,0.09684873,0.16910729,0.14820486,-0.16270265,1.9175204
2023-03-22,0.23601851,0.053985298,0.11594395,0.17387256,0.27846295,0.088716835,0.14213666,0.13015597,0.08502925,0.20789227,0.14444542,-0.1610058,1.8176653
2023-03-23,0.29118833,0.06523146,0.11716235,0.16279837,0.2782954,0.07927759,0.16944095,0.18949248,0.099259235,0.16330372,0.14925027,-0.16291729,1.9276174
2023-03-24,0.2840389,0.06386162,0.1171561,0.1650446,0.27899036,0.08071418,0.16633229,0.1812814,0.09691662,0.17009714,0.14828081,-0.16273253,1.9154466
2023-03-27,0.2843631,0.063923925,0.11737566,0.16539039,0.27845415,0.08110626,0.16648515,0.18093356,0.09777951,0.16931598,0.14862427,-0.16283524,1.9165871
2023-03-28,0.2845406,0.06392269,0.117827505,0.16621561,0.27735406,0.082021914,0.1665913,0.17969812,0.0993939,0.16809298,0.14930129,-0.16302039,1.9179803
2023-03-29,0.28740796,0.06444837,0.11805697,0.16576242,0.27658635,0.08189939,0.16787899,0.1822929,0.10105227,0.16489819,0.14998467,-0.16315618,1.9234247
2023-03-30,0.29114428,0.06513578,0.11776514,0.1640167,0.27681798,0.08056162,0.16951954,0.18751153,0.10120894,0.16193628,0.15009275,-0.16310172,1.9288123
2023-03-31,0.29262543,0.06540893,0.11787234,0.1636776,0.2765749,0.08041861,0.17019364,0.18900667,0.10193156,0.16039336,0.15039024,-0.16314933,1.9316427
2023-04-03,0.2928968,0.06545516,0.117517546,0.1628317,0.27740937,0.07959561,0.17029788,0.1905384,0.10071592,0.16094153,0.14992356,-0.16302308,1.9311465
2023-04-04,0.114672795,0.023172844,0.10616718,0.15773161,0.2681218,0.09732606,0.071421415,0.0405992,0.053267278,0.27561328,0.14633353,-0.15820932,1.5126363
2023-04-05,0.19950345,0.041783888,0.1187105,0.16939043,0.2766612,0.09083102,0.12115784,0.099968165,0.077783085,0.22923675,0.14718923,-0.16177094,1.7339866
2023-04-06,0.19880354,0.034946095,0.12382607,0.1589106,0.27079573,0.088795826,0.118424445,0.105099455,0.0823499,0.21752521,0.1553361,-0.16350554,1.7183186
2023-04-10,0.23109655,0.048447397,0.12144838,0.16832176,0.27615148,0.088078775,0.13806173,0.12679565,0.08870059,0.20510837,0.15002269,-0.16236755,1.8046012
2023-04-11,0.11907013,0.02930364,0.10183583,0.1645067,0.27207446,0.09675901,0.071464844,0.041167505,0.055099163,0.28060013,0.14136751,-0.1606035,1.5338525
2023-04-12,0.27363473,0.061063346,0.11923312,0.16892973,0.27594453,0.08485825,0.1610629,0.16581336,0.09944941,0.17503077,0.14989673,-0.16295648,1.8978733
2023-04-13,0.30377534,0.06756897,0.11779021,0.1606307,0.2737326,0.079145774,0.17492123,0.20084278,0.1070533,0.14798734,0.1525273,-0.16326615,1.9492418
2023-04-14,0.31510398,0.069605395,0.11548777,0.15326446,0.27340296,0.074487776,0.17931937,0.21902442,0.1065253,0.13741982,0.1527876,-0.16236073,1.9587896
2023-04-17,0.31749165,0.07004413,0.11571081,0.1533176,0.271518,0.07513742,0.1803143,0.22031847,0.1090845,0.13348137,0.15385729,-0.16240786,1.9626834
2023-04-18,0.31030113,0.06881931,0.11691791,0.15722594,0.27321547,0.07706715,0.17752226,0.21010435,0.10784441,0.14168666,0.15299563,-0.16294143,1.9566417
2023-04-19,0.3079982,0.06837932,0.11721389,0.1583933,0.27350616,0.07772513,0.17660888,0.20690858,0.10744329,0.14403886,0.15277809,-0.16305971,1.9540536
2023-04-20,0.31531858,0.06967653,0.115813404,0.15381931,0.27288646,0.07502358,0.17945126,0.21830086,0.10758173,0.13675001,0.15315834,-0.1624643,1.9602442
2023-04-21,0.31199533,0.06908184,0.11592801,0.15471035,0.27447733,0.075072214,0.17810757,0.21499193,0.10559911,0.14127254,0.15225469,-0.16255629,1.9560473
2023-04-24,0.31633857,0.06986493,0.115022376,0.15214878,0.27348095,0.073807485,0.17972559,0.22150001,0.10608919,0.13633448,0.15268853,-0.1621851,1.959186
2023-04-25,0.31439084,0.06950554,0.11564572,0.1536983,0.2736154,0.07469941,0.17904386,0.21794027,0.10646237,0.13828263,0.15270272,-0.16242266,1.9584097
2023-04-26,0.32170594,0.07090889,0.1139376,0.14936498,0.27151626,0.0728605,0.18164966,0.22899504,0.10744254,0.1294995,0.15354759,-0.16171002,1.9631386
2023-04-27,0.32405812,0.07137075,0.113292515,0.14796779,0.27048358,0.07242073,0.18242131,0.2324946,0.107963316,0.1262927,0.15393025,-0.161448,1.9641438
2023-04-28,0.32061592,0.07080458,0.11409767,0.14994724,0.2720474,0.072997496,0.18118237,0.22751449,0.10714723,0.13107696,0.15329322,-0.16183148,1.962556
2023-05-01,0.32571957,0.07185205,0.11247878,0.14647686,0.27039385,0.071849406,0.18280977,0.23605928,0.107276164,0.1245964,0.15386042,-0.16101888,1.9643915
2023-05-02,0.323896,0.07153791,0.113136604,0.14781521,0.27117822,0.07226701,0.18224132,0.23294166,0.10724495,0.12714033,0.1536147,-0.1613588,1.9643726
2023-05-03,0.31923354,0.070761204,0.114164844,0.15030684,0.27348012,0.07300155,0.18056427,0.2265749,0.10576722,0.13373505,0.15268709,-0.16179848,1.9620751
2023-05-04,0.31744823,0.070411205,0.11452533,0.15129086,0.2739997,0.073336266,0.17990674,0.22394074,0.105504945,0.13589543,0.15244874,-0.1620085,1.9607168
2023-05-05,0.31711245,0.07042835,0.11449976,0.1513216,0.2744297,0.07331599,0.17973731,0.2238456,0.105045974,0.13661528,0.15226106,-0.16197282,1.9605858
2023-05-08,0.31412053,0.06978573,0.11506574,0.15300688,0.2748395,0.07397496,0.17864272,0.21916461,0.10491977,0.13978483,0.15198205,-0.1622778,1.9575652
2023-05-09,0.31739336,0.07038234,0.11461198,0.1514965,0.2737174,0.07345118,0.17989431,0.22343974,0.10594671,0.13569929,0.15256655,-0.1620859,1.9606851
2023-05-10,0.31584984,0.06998297,0.1149873,0.15243587,0.27377743,0.07385332,0.17937945,0.22083029,0.106069535,0.13716194,0.1525111,-0.16227409,1.9591132
2023-05-11,0.31662962,0.070233665,0.11469743,0.15181552,0.27400583,0.07354508,0.17960423,0.22251041,0.10562018,0.13667999,0.15240893,-0.16211745,1.9598683
2023-05-12,0.31235713,0.069344,0.115397334,0.15389775,0.27507013,0.07436553,0.17803808,0.216566,0.10471367,0.1415704,0.15183315,-0.16243526,1.9555886
2023-05-15,0.31355715,0.06961113,0.11523874,0.15335448,0.27483344,0.07414888,0.1784827,0.21818496,0.10499732,0.14026284,0.1519897,-0.16234922,1.9570104
2023-05-16,0.30683103,0.068264574,0.11608936,0.15647462,0.2761956,0.07560751,0.17590012,0.20919481,0.10339573,0.1476018,0.15112051,-0.16277045,1.949446
2023-05-17,0.29527503,0.06617885,0.11710866,0.1616799,0.2776381,0.078641556,0.17110135,0.19387764,0.10107105,0.15920375,0.14986347,-0.16304314,1.9346824
2023-05-18,0.22187375,0.05224368,0.11401038,0.17542979,0.27982163,0.08954629,0.13439973,0.11828595,0.080847785,0.21975258,0.14201424,-0.16144875,1.7896745
2023-05-19,0.17372566,0.045885988,0.10523404,0.1770461,0.27973378,0.09267199,0.10519523,0.07932937,0.06768372,0.25646317,0.13647127,-0.16076854,1.6802088
2023-05-22,0.24953006,0.057055615,0.11585541,0.17353833,0.27827254,0.08792108,0.14989682,0.14271882,0.08752497,0.1980275,0.14496009,-0.16090605,1.8462073
2023-05-23,0.26786163,0.06078887,0.116844505,0.17025769,0.27836454,0.08487122,0.15890607,0.16189188,0.09321975,0.18322346,0.1468666,-0.16217166,1.8852677
2023-05-24,0.2795872,0.06309106,0.117618054,0.16761205,0.27771914,0.08294936,0.16427396,0.1741402,0.09783829,0.17270023,0.14859124,-0.1628705,1.9089912
2023-05-25,0.15780875,0.04052174,0.105645,0.17344171,0.27736393,0.0939905,0.09513485,0.06698145,0.06501535,0.26411077,0.13893953,-0.16068803,1.6396416
2023-05-26,0.26950926,0.06101824,0.11635588,0.16844994,0.28027555,0.08301475,0.15982307,0.16602378,0.09103374,0.18362024,0.14597994,-0.16177556,1.8868799
2023-05-30,0.30123284,0.067140594,0.11650492,0.15856038,0.27753288,0.07663179,0.17369524,0.20253526,0.101337,0.15377644,0.15022661,-0.16283008,1.942004
2023-05-31,0.30259025,0.06736499,0.11649664,0.15811977,0.27719635,0.07645449,0.17429045,0.20406337,0.101869464,0.15224296,0.15048927,-0.1628229,1.944001
2023-06-01,0.29947132,0.06676532,0.116720304,0.15932597,0.2778003,0.07710461,0.1730199,0.20024183,0.10090925,0.15554075,0.15005206,-0.16285366,1.9398053
2023-06-02,0.29665077,0.06620542,0.11683598,0.16034082,0.2782229,0.07767014,0.17184919,0.19687612,0.09997904,0.15840475,0.14965807,-0.16284166,1.935535
2023-06-05,0.287562,0.064513765,0.11736746,0.16419643,0.27849802,0.08027382,0.16793789,0.18491721,0.09842853,0.16657704,0.14890824,-0.16284826,1.9220287
2023-06-06,0.2905998,0.065026246,0.117190436,0.16271535,0.2787672,0.079190485,0.16930564,0.18924576,0.09853297,0.1641541,0.1490284,-0.16280693,1.9265633
2023-06-07,0.2791434,0.06284449,0.117457315,0.1670709,0.2786344,0.08238325,0.16424622,0.17474273,0.09631699,0.17386848,0.14810076,-0.16261455,1.9074234
2023-06-08,0.313604,0.069435254,0.11539708,0.15319543,0.27504566,0.07415995,0.17868431,0.21852766,0.10460088,0.14026861,0.15202388,-0.16226158,1.9572045
2023-06-09,0.3106885,0.06887202,0.115657136,0.15439181,0.27583885,0.074589044,0.17753343,0.21489973,0.103615046,0.14367816,0.15151305,-0.16241734,1.9536942
2023-06-12,0.31303173,0.06936522,0.115375236,0.15332781,0.2754024,0.07416261,0.17842813,0.21807793,0.10413309,0.14113937,0.15182555,-0.16224998,1.9565191
2023-06-13,0.3127606,0.069381505,0.11532779,0.1533229,0.27576667,0.074121326,0.1782815,0.21806496,0.103715904,0.14173636,0.1516586,-0.1622214,1.9563596
2023-06-14,0.30968195,0.06862083,0.115806416,0.15480267,0.27606437,0.074780025,0.1771852,0.21362089,0.10330196,0.1447604,0.15138891,-0.16247946,1.9524932
2023-06-15,0.2962324,0.066100106,0.11702277,0.1607253,0.2781012,0.07799627,0.17172037,0.19600695,0.1001933,0.15863545,0.14975739,-0.1628743,1.9353659
2023-06-16,0.28867343,0.06466126,0.117385834,0.16375855,0.2784793,0.07999521,0.16847527,0.1863478,0.09860039,0.16556343,0.14904085,-0.16285384,1.9238353
2023-06-20,0.29755014,0.06638342,0.11718768,0.16069767,0.27751163,0.07814258,0.17228445,0.19687827,0.10132558,0.15695047,0.15018962,-0.16295704,1.9380586
2023-06-21,0.29633695,0.06617741,0.11722432,0.16115588,0.27767798,0.07839766,0.17175524,0.19538516,0.1009921,0.15818158,0.15001723,-0.162949,1.9362503
2023-06-22,0.29181132,0.0653166,0.11753245,0.1630887,0.27785873,0.07969289,0.16982165,0.1894148,0.100224204,0.1622839,0.1496577,-0.16296723,1.9296701
2023-06-23,0.31165206,0.069150075,0.11552626,0.1539477,0.275855,0.074396394,0.17787416,0.2163035,0.10371326,0.14283979,0.15156668,-0.16231918,1.9551442
2023-06-26,0.31171185,0.06917216,0.11549726,0.1538955,0.27588132,0.074366555,0.17788814,0.21644215,0.10366397,0.14281484,0.15155086,-0.1623011,1.9551857
2023-06-27,0.29602852,0.06613746,0.117261246,0.16138706,0.27756256,0.07857185,0.1716078,0.19481657,0.101104915,0.15836634,0.15004058,-0.16296554,1.9358505
2023-06-28,0.28719047,0.064461336,0.11750139,0.16462684,0.27818254,0.08066301,0.16777326,0.18398255,0.09883838,0.1666092,0.14905295,-0.16288754,1.9217694
2023-06-29,0.282166,0.06344718,0.11746967,0.16619919,0.2784074,0.081757605,0.16557892,0.17816004,0.097271636,0.17112145,0.14846282,-0.1627196,1.9127616
2023-06-30,0.22233565,0.050926078,0.11585678,0.17411596,0.27927038,0.0896066,0.13464954,0.11839845,0.08173445,0.21807738,0.14366576,-0.16136387,1.7900009
